city_id,name,latitude,longitude,days,temperature,mean_temp,proba_rain,mean_rain,humidity,mean_humidity,wind_speed,mean_wind_speed,pressure,mean_pressure,weather,mode_weather,score,date,mode_rain,mode_clouds,mode_clear,rank
29,Ariege,42.9455368,1.4065544,1,0,4,84,76.0,94,77.0,2.74,4.0,1016,1014,Snow,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,2,4,4,76,76.0,59,77.0,3.18,4.0,1020,1014,Rain,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,3,7,4,100,76.0,72,77.0,3.57,4.0,1007,1014,Rain,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,4,-3,4,100,76.0,96,77.0,4.24,4.0,1015,1014,Snow,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,5,5,4,98,76.0,84,77.0,4.12,4.0,1013,1014,Rain,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,6,7,4,76,76.0,67,77.0,3.48,4.0,1018,1014,Rain,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
29,Ariege,42.9455368,1.4065544,7,9,4,0,76.0,67,77.0,3.37,4.0,1015,1014,Clouds,Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,1,4,3,52,74.0,76,75.0,2.41,3.0,1011,1012,Clouds,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,2,1,3,100,74.0,78,75.0,4.07,3.0,1016,1012,Rain,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,3,5,3,84,74.0,74,75.0,3.62,3.0,1009,1012,Rain,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,4,0,3,100,74.0,78,75.0,4.04,3.0,1005,1012,Rain,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,5,2,3,92,74.0,74,75.0,2.99,3.0,1009,1012,Rain,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,6,3,3,88,74.0,85,75.0,2.55,3.0,1020,1012,Rain,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,7,6,3,0,74.0,62,75.0,2.04,3.0,1019,1012,Clouds,Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
7,Lille,50.6365654,3.0635282,1,3,5,31,69.0,85,75.0,4.25,7.0,1012,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,2,4,5,100,69.0,75,75.0,7.64,7.0,1009,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,3,6,5,84,69.0,77,75.0,6.44,7.0,1003,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,4,4,5,94,69.0,69,75.0,9.32,7.0,1002,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,5,4,5,32,69.0,78,75.0,5.8,7.0,1004,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,6,9,5,99,69.0,76,75.0,6.85,7.0,1014,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
7,Lille,50.6365654,3.0635282,7,11,5,46,69.0,63,75.0,7.94,7.0,1011,1007,Rain,Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
13,Dijon,47.3215806,5.0414701,1,6,5,35,72.0,79,76.0,3.86,6.0,1012,1013,Rain,Rain,24.57,"11/18/2022, 13:07:14",6,1,0,4
