city_id,name,latitude,longitude,days,temperature,mean_temp,proba_rain,mean_rain,humidity,mean_humidity,wind_speed,mean_wind_speed,pressure,mean_pressure,weather,mode_weather,score,date,mode_rain,mode_clouds,mode_clear,rank
29,Ariege,42.9455368,1.4065544,"[1, 2, 3, 4, 5, 6, 7]","[0, 4, 7, -3, 5, 7, 9]",4,"[84, 76, 100, 100, 98, 76, 0]",76.0,"[94, 59, 72, 96, 84, 67, 67]",77.0,"[2.74, 3.18, 3.57, 4.24, 4.12, 3.48, 3.37]",4.0,"[1016, 1020, 1007, 1015, 1013, 1018, 1015]",1014,"['Snow', 'Rain', 'Rain', 'Snow', 'Rain', 'Rain', 'Clouds']",Rain,24.21,"11/18/2022, 13:07:14",4,1,0,1
9,Chateau du Haut Koenigsbourg,48.2495226,7.3454923,"[1, 2, 3, 4, 5, 6, 7]","[4, 1, 5, 0, 2, 3, 6]",3,"[52, 100, 84, 100, 92, 88, 0]",74.0,"[76, 78, 74, 78, 74, 85, 62]",75.0,"[2.41, 4.07, 3.62, 4.04, 2.99, 2.55, 2.04]",3.0,"[1011, 1016, 1009, 1005, 1009, 1020, 1019]",1012,"['Clouds', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,22.69,"11/18/2022, 13:07:14",5,2,0,2
7,Lille,50.6365654,3.0635282,"[1, 2, 3, 4, 5, 6, 7]","[3, 4, 6, 4, 4, 9, 11]",5,"[31, 100, 84, 94, 32, 99, 46]",69.0,"[85, 75, 77, 69, 78, 76, 63]",75.0,"[4.25, 7.64, 6.44, 9.32, 5.8, 6.85, 7.94]",7.0,"[1012, 1009, 1003, 1002, 1004, 1014, 1011]",1007,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain']",Rain,24.84,"11/18/2022, 13:07:14",7,0,0,3
13,Dijon,47.3215806,5.0414701,"[1, 2, 3, 4, 5, 6, 7]","[6, 4, 3, 4, 2, 8, 8]",5,"[35, 100, 100, 100, 88, 84, 0]",72.0,"[79, 74, 82, 69, 84, 76, 65]",76.0,"[3.86, 5.59, 9.9, 7.85, 5.24, 3.67, 3.83]",6.0,"[1012, 1017, 1008, 1008, 1009, 1019, 1018]",1013,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,24.57,"11/18/2022, 13:07:14",6,1,0,4
14,Annecy,45.8992348,6.1288847,"[1, 2, 3, 4, 5, 6, 7]","[7, 7, 7, 3, 5, 7, 10]",6,"[54, 97, 99, 100, 78, 28, 0]",65.0,"[79, 76, 77, 98, 85, 87, 78]",83.0,"[1.6, 1.61, 1.93, 1.43, 1.78, 1.77, 1.73]",2.0,"[1011, 1018, 1009, 1009, 1011, 1021, 1019]",1014,"['Rain', 'Rain', 'Rain', 'Snow', 'Rain', 'Rain', 'Clouds']",Rain,23.44,"11/18/2022, 13:07:14",5,1,0,5
17,Gorges du Verdon,43.7496562,6.3285616,"[1, 2, 3, 4, 5, 6, 7]","[9, 9, 6, 0, 5, 8, 9]",6,"[15, 3, 100, 100, 0, 0, 0]",31.0,"[41, 45, 61, 84, 39, 41, 49]",51.0,"[2.64, 3.06, 3.2, 6.25, 4.3, 4.45, 1.79]",4.0,"[1003, 1012, 1012, 995, 1005, 1015, 1020]",1008,"['Clouds', 'Clear', 'Rain', 'Snow', 'Clouds', 'Clouds', 'Clouds']",Clouds,15.14,"11/18/2022, 13:07:14",1,4,1,6
11,Eguisheim,48.0447968,7.3079618,"[1, 2, 3, 4, 5, 6, 7]","[9, 5, 8, 5, 5, 6, 9]",6,"[52, 100, 89, 100, 92, 85, 0]",74.0,"[68, 72, 70, 73, 74, 85, 62]",72.0,"[2.17, 3.92, 3.81, 3.29, 3.21, 2.59, 2.26]",3.0,"[1011, 1016, 1009, 1005, 1009, 1020, 1019]",1012,"['Clouds', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,24.99,"11/18/2022, 13:07:14",5,2,0,7
10,Colmar,48.0777517,7.3579641,"[1, 2, 3, 4, 5, 6, 7]","[8, 5, 8, 5, 5, 6, 9]",6,"[52, 100, 90, 100, 92, 85, 0]",74.0,"[69, 72, 69, 72, 73, 84, 62]",72.0,"[2.29, 4.28, 4.37, 3.38, 3.65, 2.86, 2.5]",3.0,"[1011, 1016, 1009, 1005, 1009, 1020, 1019]",1012,"['Clouds', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,24.98,"11/18/2022, 13:07:14",5,2,0,8
15,Grenoble,45.1875602,5.7357819,"[1, 2, 3, 4, 5, 6, 7]","[6, 7, 10, 3, 6, 9, 12]",7,"[45, 52, 100, 100, 32, 0, 0]",47.0,"[83, 75, 64, 99, 90, 85, 77]",82.0,"[2.6, 2.42, 2.67, 3.05, 1.59, 1.92, 2.24]",2.0,"[1011, 1018, 1009, 1008, 1011, 1020, 1019]",1013,"['Rain', 'Rain', 'Rain', 'Rain', 'Snow', 'Clouds', 'Clouds']",Rain,20.61,"11/18/2022, 13:07:14",4,2,0,9
12,Besancon,47.2380222,6.0243622,"[1, 2, 3, 4, 5, 6, 7]","[7, 4, 7, 4, 6, 7, 11]",6,"[61, 95, 100, 100, 100, 75, 0]",76.0,"[85, 86, 81, 83, 71, 86, 58]",79.0,"[2.5, 5.38, 6.45, 5.8, 4.57, 3.74, 1.42]",4.0,"[1012, 1017, 1007, 1008, 1009, 1020, 1018]",1013,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,26.07,"11/18/2022, 13:07:14",6,1,0,10
8,Strasbourg,48.584614,7.7507127,"[1, 2, 3, 4, 5, 6, 7]","[8, 5, 7, 6, 6, 8, 6]",6,"[40, 96, 77, 100, 61, 43, 20]",62.0,"[72, 66, 68, 62, 65, 74, 68]",68.0,"[3.76, 5.81, 6.72, 4.85, 5.1, 4.3, 4.16]",5.0,"[1011, 1015, 1008, 1003, 1008, 1015, 1016]",1010,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clouds']",Rain,22.88,"11/18/2022, 13:07:14",5,2,0,11
16,Lyon,45.7578137,4.8320114,"[1, 2, 3, 4, 5, 6, 7]","[7, 9, 6, 5, 4, 10, 11]",7,"[32, 67, 100, 100, 36, 15, 0]",50.0,"[69, 65, 66, 66, 78, 63, 57]",66.0,"[4.99, 2.52, 6.02, 6.59, 2.8, 1.56, 3.35]",4.0,"[1012, 1018, 1008, 1009, 1010, 1020, 1018]",1013,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clear']",Rain,20.56,"11/18/2022, 13:07:14",5,1,1,12
5,Paris,48.8588897,2.3200410217200766,"[1, 2, 3, 4, 5, 6, 7]","[8, 4, 6, 9, 4, 10, 12]",7,"[13, 100, 100, 54, 100, 34, 0]",57.0,"[69, 84, 64, 63, 85, 74, 61]",71.0,"[3.93, 5.35, 5.71, 6.05, 4.93, 4.85, 4.85]",5.0,"[1013, 1013, 1003, 1006, 1004, 1016, 1013]",1009,"['Clouds', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,22.8,"11/18/2022, 13:07:14",5,2,0,13
6,Amiens,49.8941708,2.2956951,"[1, 2, 3, 4, 5, 6, 7]","[7, 3, 4, 9, 2, 10, 12]",6,"[35, 97, 100, 83, 68, 23, 100]",72.0,"[75, 88, 75, 61, 89, 69, 76]",76.0,"[5.01, 8.62, 11.13, 10.91, 7.73, 6.67, 8.88]",8.0,"[1012, 1010, 999, 999, 1001, 1011, 1008]",1005,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain']",Rain,26.54,"11/18/2022, 13:07:14",7,0,0,14
4,Rouen,49.4404591,1.0939658,"[1, 2, 3, 4, 5, 6, 7]","[10, 9, 5, 9, 6, 10, 13]",8,"[37, 100, 100, 83, 98, 33, 26]",68.0,"[72, 75, 77, 70, 91, 80, 76]",77.0,"[5.22, 9.91, 7.11, 9.23, 6.84, 7.58, 7.33]",8.0,"[1014, 1011, 1000, 1006, 1002, 1014, 1010]",1008,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain']",Rain,26.97,"11/18/2022, 13:07:14",7,0,0,15
21,Aix en Provence,43.5298424,5.4474738,"[1, 2, 3, 4, 5, 6, 7]","[10, 9, 10, 5, 7, 13, 12]",9,"[0, 0, 100, 100, 5, 13, 25]",35.0,"[52, 54, 44, 57, 61, 56, 70]",56.0,"[6.39, 7.61, 6.53, 12.53, 10.14, 7.82, 4.36]",8.0,"[1006, 1014, 1012, 1000, 1009, 1013, 1019]",1010,"['Clouds', 'Clear', 'Rain', 'Rain', 'Clouds', 'Clouds', 'Clouds']",Clouds,19.35,"11/18/2022, 13:07:14",2,4,1,16
23,Uzes,44.0121279,4.4196718,"[1, 2, 3, 4, 5, 6, 7]","[10, 9, 8, 9, 9, 13, 12]",10,"[0, 0, 100, 100, 24, 0, 1]",32.0,"[52, 52, 61, 53, 62, 54, 56]",56.0,"[8.06, 6.02, 4.31, 9.25, 3.58, 4.92, 1.73]",5.0,"[1009, 1017, 1012, 1005, 1009, 1018, 1020]",1012,"['Clear', 'Clear', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clouds']",Rain,18.43,"11/18/2022, 13:07:14",3,2,2,17
28,Carcassonne,43.2130358,2.3491069,"[1, 2, 3, 4, 5, 6, 7]","[5, 10, 10, 5, 14, 14, 11]",9,"[52, 42, 97, 100, 98, 54, 7]",64.0,"[86, 65, 72, 79, 77, 64, 81]",75.0,"[7.68, 7.73, 9.09, 11.58, 11.78, 6.09, 7.07]",9.0,"[1014, 1020, 1008, 1012, 1010, 1019, 1018]",1014,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clouds']",Rain,27.03,"11/18/2022, 13:07:14",5,2,0,18
24,Nimes,43.8374249,4.3600687,"[1, 2, 3, 4, 5, 6, 7]","[11, 10, 10, 10, 8, 13, 13]",10,"[0, 0, 100, 100, 19, 0, 2]",32.0,"[49, 47, 57, 47, 63, 52, 54]",53.0,"[7.85, 5.97, 4.2, 8.81, 3.47, 4.16, 2.66]",5.0,"[1009, 1017, 1011, 1006, 1010, 1018, 1020]",1013,"['Clear', 'Clear', 'Rain', 'Rain', 'Clouds', 'Clouds', 'Clouds']",Clouds,18.56,"11/18/2022, 13:07:14",2,3,2,19
30,Toulouse,43.6044622,1.4442469,"[1, 2, 3, 4, 5, 6, 7]","[7, 9, 9, 9, 15, 13, 14]",10,"[81, 73, 100, 100, 100, 52, 0]",72.0,"[77, 66, 74, 66, 75, 68, 72]",71.0,"[5.67, 6.24, 9.17, 8.89, 9.04, 4.79, 7.43]",7.0,"[1015, 1020, 1007, 1013, 1012, 1018, 1016]",1014,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds']",Rain,28.63,"11/18/2022, 13:07:14",6,1,0,20
2,Bayeux,49.2764624,-0.7024738,"[1, 2, 3, 4, 5, 6, 7]","[9, 10, 3, 9, 9, 10, 13]",9,"[46, 74, 100, 100, 100, 100, 100]",89.0,"[67, 68, 85, 66, 83, 73, 74]",74.0,"[5.25, 8.81, 14.21, 13.84, 8.93, 13.31, 11.81]",11.0,"[1015, 1013, 989, 1003, 1000, 1011, 1005]",1005,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Rain']",Rain,31.89,"11/18/2022, 13:07:14",7,0,0,21
31,Montauban,44.0175835,1.3549991,"[1, 2, 3, 4, 5, 6, 7]","[9, 8, 7, 9, 15, 12, 15]",10,"[69, 63, 100, 100, 100, 20, 0]",65.0,"[76, 78, 82, 66, 77, 72, 70]",74.0,"[5.49, 5.59, 8.51, 9.2, 8.66, 4.46, 4.25]",7.0,"[1015, 1020, 1006, 1013, 1011, 1018, 1016]",1014,"['Rain', 'Rain', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clouds']",Rain,27.0,"11/18/2022, 13:07:14",5,2,0,22
22,Avignon,43.9492493,4.8059012,"[1, 2, 3, 4, 5, 6, 7]","[11, 10, 10, 10, 10, 13, 13]",11,"[0, 0, 100, 100, 6, 0, 0]",29.0,"[59, 56, 52, 54, 55, 52, 49]",54.0,"[10.53, 9.41, 8.01, 10.36, 5.47, 7.49, 1.69]",8.0,"[1008, 1017, 1012, 1004, 1009, 1018, 1020]",1012,"['Clear', 'Clear', 'Rain', 'Rain', 'Clouds', 'Clouds', 'Clouds']",Clouds,19.08,"11/18/2022, 13:07:14",2,3,2,23
25,Aigues Mortes,43.5658225,4.1912837,"[1, 2, 3, 4, 5, 6, 7]","[12, 10, 12, 11, 10, 13, 13]",11,"[0, 1, 90, 100, 44, 0, 9]",35.0,"[49, 46, 60, 47, 73, 55, 62]",56.0,"[8.25, 7.98, 6.91, 11.33, 6.36, 7.05, 7.65]",8.0,"[1009, 1018, 1011, 1006, 1010, 1018, 1020]",1013,"['Clear', 'Clear', 'Rain', 'Rain', 'Rain', 'Clouds', 'Clouds']",Rain,20.8,"11/18/2022, 13:07:14",3,2,2,24
