[(34, (0.005, 10)),
 (22, (0.005, 12)),
 (12, (0.005, 14)),
 (9, (0.005, 16)),
 (9, (0.005, 18)),
 (8, (0.005, 20)),
 (8, (0.005, 22)),
 (6, (0.005, 24)),
 (6, (0.005, 26)),
 (6, (0.005, 28)),
 (5, (0.005, 30)),
 (5, (0.005, 32)),
 (4, (0.005, 34)),
 (4, (0.005, 36)),
 (4, (0.005, 38)),
 (4, (0.005, 40)),
 (3, (0.005, 42)),
 (3, (0.005, 44)),
 (3, (0.005, 46)),
 (3, (0.005, 48)),
 (3, (0.005, 50)),
 (3, (0.005, 52)),
 (3, (0.005, 54)),
 (3, (0.005, 56)),
 (3, (0.005, 58)),
 (3, (0.005, 60)),
 (3, (0.005, 62)),
 (3, (0.005, 64)),
 (3, (0.005, 66)),
 (3, (0.005, 68)),
 (3, (0.005, 70)),
 (2, (0.005, 72)),
 (2, (0.005, 74)),
 (2, (0.005, 76)),
 (2, (0.005, 78)),
 (119, (0.01, 10)),
 (81, (0.01, 12)),
 (48, (0.01, 14)),
 (33, (0.01, 16)),
 (24, (0.01, 18)),
 (18, (0.01, 20)),
 (14, (0.01, 22)),
 (10, (0.01, 24)),
 (9, (0.01, 26)),
 (9, (0.01, 28)),
 (9, (0.01, 30)),
 (9, (0.01, 32)),
 (7, (0.01, 34)),
 (6, (0.01, 36)),
 (6, (0.01, 38)),
 (5, (0.01, 40)),
 (5, (0.01, 42)),
 (5, (0.01, 44)),
 (5, (0.01, 46)),
 (5, (0.01, 48)),
 (5, (0.01, 50)),
 (5, (0.01, 52)),
 (4, (0.01, 54)),
 (4, (0.01, 56)),
 (4, (0.01, 58)),
 (4, (0.01, 60)),
 (4, (0.01, 62)),
 (4, (0.01, 64)),
 (4, (0.01, 66)),
 (4, (0.01, 68)),
 (4, (0.01, 70)),
 (4, (0.01, 72)),
 (4, (0.01, 74)),
 (4, (0.01, 76)),
 (4, (0.01, 78)),
 (183, (0.015, 10)),
 (142, (0.015, 12)),
 (114, (0.015, 14)),
 (88, (0.015, 16)),
 (69, (0.015, 18)),
 (48, (0.015, 20)),
 (37, (0.015, 22)),
 (27, (0.015, 24)),
 (26, (0.015, 26)),
 (20, (0.015, 28)),
 (14, (0.015, 30)),
 (13, (0.015, 32)),
 (12, (0.015, 34)),
 (11, (0.015, 36)),
 (11, (0.015, 38)),
 (8, (0.015, 40)),
 (8, (0.015, 42)),
 (7, (0.015, 44)),
 (5, (0.015, 46)),
 (5, (0.015, 48)),
 (5, (0.015, 50)),
 (5, (0.015, 52)),
 (5, (0.015, 54)),
 (5, (0.015, 56)),
 (5, (0.015, 58)),
 (5, (0.015, 60)),
 (5, (0.015, 62)),
