target,message,is_spam,num_chars_before_preprocess,len_message_before_preprocess,len_word,message_clean
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,20,5,go until jurong point crazy available only in bugis n great world e buffet cine there get amore wat
ham,Ok lar... Joking wif u oni...,0,29,6,4,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,28,5,free entry in 2 wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s
ham,U dun say so early hor... U c already then say...,0,49,11,4,u dun say so early hor u c already then say
ham,"Nah I don't think he goes to usf, he lives around here though",0,61,13,4,nah do not think he go to usf he live around here though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,148,32,4,freemsg hey there darle its be 3 week now and no word back d like some fun you up for it still tb ok xxx std chgs to send å150 to rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,0,77,16,4,even my brother be not like to speak with they treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,26,6,per your request melle melle oru minnaminunginte nurungu vettam have be set your callertune for all caller press 9 to copy your friend callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,158,26,6,winner value network customer you have be select to receivea å900 prize reward to claim call 09061701461 claim code kl341 valid 12 hour only
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,29,5,have your mobile 11 month more u r entitle to update to the late colour mobile with camera for free call the mobile update co free 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,21,5,m go be home soon and do not want to talk about this stuff anymore tonight k ve cry enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,26,5,chance to win cash from 100 to 20000 pound txt csh11 and send to 87575 cost 150pday 6days 16 tsandc apply reply hl 4 info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,156,26,6,urgent you have win 1 week free membership in our å100000 prize jackpot txt the word claim to no 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,37,5,ve be search for the right word to thank you for this breather promise will not take your help for grant and will fulfil my promise you have be wonderful and blessing at all time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,8,4,have date sunday with will
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,19,7,xxxmobilemovieclub to use your credit click the wap link in the next txt message click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),0,26,4,6,oh kim watch here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,19,4,u remember how 2 spell his name yes do he v naughty make until v wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,58,13,4,fine if thatåõs the way u feel thatåõs the way its gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,156,24,6,england v macedonia   do not miss the goalsteam news txt ur national team to 87077 eg england to 87077 trywale scotland 4txtì¼120 poboxox36504w45wq 16
ham,Is that seriously how you spell his name?,0,41,8,5,be that seriously how you spell his name
ham,IÛ÷m going to try for 2 months ha ha only joking,0,49,11,4,iûm go to try for 2 month only joke
ham,So Ì_ pay first lar... Then when is da stock comin...,0,53,11,4,so ì pay first lar then when be stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,20,4,aft finish my lunch then go str down lor ard 3 smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,11,5,ffffffffff alright no way can meet up with you soon
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,28,5,just force myself to eat slice m really not hungry tho this suck mark be get worried he know m sick when turn down pizza lol
ham,Lol your always so convincing.,0,30,5,6,lol your always so convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,32,4,do you catch the bus   be you fry an egg   do you make tea be you eat your mom leave over dinner   do you feel my love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,15,5,m back amp be pack the now ill let you know if there s room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,12,5,ahhh work vaguely remember that what do it feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,26,5,wait that s still not all that clear be you not sure about be sarcastic that that s why x do not want to live with we
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,41,4,yeah he get in at 2 and be v apologetic n have fall out and she be actin like spoilt child and he got catch up in that till 2 but we will not go there not do too badly cheer you
ham,K tell me anything about you.,0,29,6,4,k tell anything about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,17,4,for fear of faint with the of all that housework you just do quick have cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,159,29,5,thank for your subscription to ringtone uk your mobile will be charge å5month please confirm by reply yes no if you reply no you will not be charge
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,123,28,4,yup ok go home look at the timing then msg ì again xuhui go to learn 2nd may too but her lesson be at 8 am
ham,"Oops, I'll let you know when my roommate's done",0,47,9,5,oop ill let you know when my roommate do
ham,I see the letter B on my car,0,28,8,3,see the letter b my
ham,Anything lor... U decide...,0,27,4,6,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,155,30,5,hello how s you and how do saturday go be just texte to see if you d decide to do anything tomo not that m try to invite myself anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,82,17,4,pls go ahead with watt just want to be sure do have great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,142,34,4,do forget to tell you   want you   need you crave you   but most of all   love you my sweet arabian steed   mmmmmm   yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,172,33,5,07732584351   rodger burn   msg   we try to call you re your reply to our sm for free nokia mobile   free camcorder please call now 08000930705 for delivery tomorrow
ham,WHO ARE YOU SEEING?,0,19,4,4,who be you see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,72,13,5,great hope you like your man well endow be   ltgt   inch
ham,No calls..messages..missed calls,0,32,3,10,no callsmessagesmissed call
ham,Didn't you get hep b immunisation in nigeria.,0,45,8,5,do not you get b immunisation in nigeria
